FICHIER :;e:\13-14\ORAL 2012\comax\excel\Kp3000-Ki90-wc3000-ech50-3.eposacq
Date :;24/04/2014
Heure :;15:28:42

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 3000 rpm.
102 mesures avec période de 50.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Moteur;Courant Moteur;
;ms;;rpm;rpm;mA;
         0;       0,0;;         0;         0;      2357;
         1;      50,0;;         0;         0;      2357;
         2;     100,0;;         0;         0;      2357;
         3;     150,0;;         0;         0;      2357;
         4;     200,0;;         0;         0;      2356;
         5;     250,0;;         0;         0;      2357;
         6;     300,0;;         0;         0;      2357;
         7;     350,0;;         0;         0;      2356;
         8;     400,0;;         0;         0;      2357;
         9;     450,0;;         0;         0;      2357;
        10;     500,0;;       600;         1;      2709;
        11;     550,0;;      3000;       997;      7463;
        12;     600,0;;      3000;      2593;      4706;
        13;     650,0;;      3000;      3216;      3087;
        14;     700,0;;      3000;      3195;      3963;
        15;     750,0;;      3000;      3106;      3963;
        16;     800,0;;      3000;      3153;      3244;
        17;     850,0;;      3000;      3024;      4376;
        18;     900,0;;      3000;      3026;      3868;
        19;     950,0;;      3000;      3014;      4116;
        20;    1000,0;;      3000;      2975;      4297;
        21;    1050,0;;      3000;      3023;      3852;
        22;    1100,0;;      3000;      3008;      4061;
        23;    1150,0;;      3000;      3012;      3963;
        24;    1200,0;;      3000;      2996;      4121;
        25;    1250,0;;      3000;      2987;      4162;
        26;    1300,0;;      3000;      2992;      4136;
        27;    1350,0;;      3000;      3004;      4013;
        28;    1400,0;;      3000;      3012;      3979;
        29;    1450,0;;      3000;      3017;      3908;
        30;    1500,0;;      3000;      3004;      4000;
        31;    1550,0;;      3000;      3014;      3876;
        32;    1600,0;;      3000;      3020;      3776;
        33;    1650,0;;      3000;      3030;      3674;
        34;    1700,0;;      3000;      3035;      3560;
        35;    1750,0;;      3000;      3022;      3633;
        36;    1800,0;;      1600;      2971;       892;
        37;    1850,0;;         0;       994;      1661;
        38;    1900,0;;         0;       117;      3156;
        39;    1950,0;;         0;       -13;      2402;
        40;    2000,0;;         0;        -2;      2366;
        41;    2050,0;;         0;        -6;      2403;
        42;    2100,0;;         0;        -1;      2386;
        43;    2150,0;;         0;         0;      2386;
        44;    2200,0;;         0;         0;      2386;
        45;    2250,0;;         0;         0;      2386;
        46;    2300,0;;         0;         0;      2386;
        47;    2350,0;;         0;         0;      2386;
        48;    2400,0;;         0;         0;      2386;
        49;    2450,0;;         0;         0;      2385;
        50;    2500,0;;         0;         0;      2386;
        51;    2550,0;;         0;         0;      2386;
        52;    2600,0;;         0;         0;      2386;
        53;    2650,0;;         0;         0;      2387;
        54;    2700,0;;         0;         0;      2386;
        55;    2750,0;;         0;         0;      2386;
        56;    2800,0;;         0;         0;      2386;
        57;    2850,0;;         0;         0;      2386;
        58;    2900,0;;         0;         0;      2386;
        59;    2950,0;;         0;         0;      2386;
        60;    3000,0;;         0;         0;      2386;
        61;    3050,0;;         0;         0;      2386;
        62;    3100,0;;         0;         0;      2385;
        63;    3150,0;;         0;         0;      2386;
        64;    3200,0;;         0;         0;      2386;
        65;    3250,0;;         0;         0;      2386;
        66;    3300,0;;         0;         0;      2386;
        67;    3350,0;;         0;         0;      2386;
        68;    3400,0;;         0;         0;      2386;
        69;    3450,0;;         0;         0;      2385;
        70;    3500,0;;         0;         0;      2386;
        71;    3550,0;;         0;         0;      2386;
        72;    3600,0;;         0;         0;      2386;
        73;    3650,0;;         0;         0;      2386;
        74;    3700,0;;         0;         0;      2386;
        75;    3750,0;;         0;         0;      2386;
        76;    3800,0;;         0;         0;      2386;
        77;    3850,0;;         0;         0;      2386;
        78;    3900,0;;         0;         0;      2386;
        79;    3950,0;;         0;         0;      2386;
        80;    4000,0;;         0;         0;      2386;
        81;    4050,0;;         0;         0;      2386;
        82;    4100,0;;         0;         0;      2386;
        83;    4150,0;;         0;         0;      2386;
        84;    4200,0;;         0;         0;      2386;
        85;    4250,0;;         0;         0;      2386;
        86;    4300,0;;         0;         0;      2386;
        87;    4350,0;;         0;         0;      2386;
        88;    4400,0;;         0;         0;      2386;
        89;    4450,0;;         0;         0;      2386;
        90;    4500,0;;         0;         0;      2386;
        91;    4550,0;;         0;         0;      2386;
        92;    4600,0;;         0;         0;      2386;
        93;    4650,0;;         0;         0;      2386;
        94;    4700,0;;         0;         0;      2386;
        95;    4750,0;;         0;         0;      2386;
        96;    4800,0;;         0;         0;      2386;
        97;    4850,0;;         0;         0;      2385;
        98;    4900,0;;         0;         0;      2386;
        99;    4950,0;;         0;         0;      2386;
       100;    5000,0;;         0;         0;      2386;
       101;    5050,0;;         0;         0;      2386;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3000;90;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

