FICHIER :;e:\13-14\ORAL 2012\comax\excel\Kp3000-Ki90-wc3000-ech5.eposacq
Date :;24/04/2014
Heure :;14:46:22

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 3000 rpm.
102 mesures avec période de 5.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Moteur;Courant Moteur;
;ms;;rpm;rpm;mA;
         0;       0,0;;         0;         0;      2386;
         1;       5,0;;         0;         0;      2386;
         2;      10,0;;         0;         0;      2387;
         3;      15,0;;         0;         0;      2386;
         4;      20,0;;         0;         0;      2386;
         5;      25,0;;         0;         0;      2386;
         6;      30,0;;         0;         0;      2386;
         7;      35,0;;         0;         0;      2386;
         8;      40,0;;         0;         0;      2386;
         9;      45,0;;         0;         0;      2386;
        10;      50,0;;       400;         0;      2554;
        11;      55,0;;       900;         4;      3729;
        12;      60,0;;      1400;        24;      5655;
        13;      65,0;;      1900;        73;      7059;
        14;      70,0;;      2400;       151;      7376;
        15;      75,0;;      2900;       251;      7445;
        16;      80,0;;      3000;       363;      7435;
        17;      85,0;;      3000;       487;      7445;
        18;      90,0;;      3000;       622;      7469;
        19;      95,0;;      3000;       767;      7455;
        20;     100,0;;      3000;       922;      7452;
        21;     105,0;;      3000;      1081;      7461;
        22;     110,0;;      3000;      1242;      7462;
        23;     115,0;;      3000;      1403;      7477;
        24;     120,0;;      3000;      1565;      7468;
        25;     125,0;;      3000;      1727;      7451;
        26;     130,0;;      3000;      1893;      7460;
        27;     135,0;;      3000;      2061;      7348;
        28;     140,0;;      3000;      2232;      6527;
        29;     145,0;;      3000;      2390;      5621;
        30;     150,0;;      3000;      2531;      4932;
        31;     155,0;;      3000;      2654;      4456;
        32;     160,0;;      3000;      2761;      4132;
        33;     165,0;;      3000;      2852;      3916;
        34;     170,0;;      3000;      2931;      3753;
        35;     175,0;;      3000;      2999;      3595;
        36;     180,0;;      3000;      3057;      3460;
        37;     185,0;;      3000;      3105;      3385;
        38;     190,0;;      3000;      3145;      3322;
        39;     195,0;;      3000;      3180;      3244;
        40;     200,0;;      3000;      3209;      3159;
        41;     205,0;;      3000;      3233;      3093;
        42;     210,0;;      3000;      3253;      3024;
        43;     215,0;;      3000;      3269;      2981;
        44;     220,0;;      3000;      3275;      3016;
        45;     225,0;;      3000;      3273;      3143;
        46;     230,0;;      3000;      3267;      3313;
        47;     235,0;;      3000;      3256;      3489;
        48;     240,0;;      3000;      3239;      3686;
        49;     245,0;;      3000;      3223;      3855;
        50;     250,0;;      3000;      3205;      4000;
        51;     255,0;;      3000;      3187;      4115;
        52;     260,0;;      3000;      3167;      4267;
        53;     265,0;;      3000;      3147;      4390;
        54;     270,0;;      3000;      3131;      4471;
        55;     275,0;;      3000;      3119;      4475;
        56;     280,0;;      3000;      3110;      4440;
        57;     285,0;;      3000;      3107;      4334;
        58;     290,0;;      3000;      3109;      4188;
        59;     295,0;;      3000;      3111;      4065;
        60;     300,0;;      3000;      3114;      3950;
        61;     305,0;;      3000;      3121;      3820;
        62;     310,0;;      3000;      3128;      3677;
        63;     315,0;;      3000;      3135;      3571;
        64;     320,0;;      3000;      3142;      3479;
        65;     325,0;;      3000;      3149;      3373;
        66;     330,0;;      3000;      3155;      3295;
        67;     335,0;;      3000;      3158;      3267;
        68;     340,0;;      3000;      3159;      3277;
        69;     345,0;;      3000;      3159;      3276;
        70;     350,0;;      3000;      3156;      3308;
        71;     355,0;;      3000;      3150;      3376;
        72;     360,0;;      3000;      3141;      3473;
        73;     365,0;;      3000;      3132;      3576;
        74;     370,0;;      3000;      3119;      3684;
        75;     375,0;;      3000;      3103;      3842;
        76;     380,0;;      3000;      3087;      3992;
        77;     385,0;;      3000;      3073;      4108;
        78;     390,0;;      3000;      3058;      4208;
        79;     395,0;;      3000;      3043;      4299;
        80;     400,0;;      3000;      3031;      4359;
        81;     405,0;;      3000;      3023;      4345;
        82;     410,0;;      3000;      3019;      4319;
        83;     415,0;;      3000;      3015;      4280;
        84;     420,0;;      3000;      3012;      4247;
        85;     425,0;;      3000;      3013;      4171;
        86;     430,0;;      3000;      3016;      4102;
        87;     435,0;;      3000;      3020;      4023;
        88;     440,0;;      3000;      3023;      3957;
        89;     445,0;;      3000;      3027;      3892;
        90;     450,0;;      3000;      3031;      3844;
        91;     455,0;;      3000;      3034;      3844;
        92;     460,0;;      3000;      3035;      3838;
        93;     465,0;;      3000;      3037;      3825;
        94;     470,0;;      3000;      3038;      3814;
        95;     475,0;;      3000;      3035;      3872;
        96;     480,0;;      3000;      3032;      3921;
        97;     485,0;;      3000;      3028;      3968;
        98;     490,0;;      3000;      3022;      4042;
        99;     495,0;;      3000;      3014;      4139;
       100;     500,0;;      3000;      3008;      4201;
       101;     505,0;;      3000;      3004;      4229;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3000;90;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

