FICHIER :;e:\13-14\ORAL 2012\comax\excel\Kp3000-Ki90-wc3000-ech50-2.eposacq
Date :;24/04/2014
Heure :;15:19:14

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 3000 rpm.
102 mesures avec période de 50.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Moteur;Courant Moteur;
;ms;;rpm;rpm;mA;
         0;       0,0;;         0;         0;      2492;
         1;      50,0;;         0;         0;      2492;
         2;     100,0;;         0;         0;      2492;
         3;     150,0;;         0;         0;      2491;
         4;     200,0;;         0;         0;      2492;
         5;     250,0;;         0;         0;      2492;
         6;     300,0;;         0;         0;      2492;
         7;     350,0;;         0;         0;      2492;
         8;     400,0;;         0;         0;      2492;
         9;     450,0;;         0;         0;      2492;
        10;     500,0;;      3000;       752;      7462;
        11;     550,0;;      3000;      2391;      5676;
        12;     600,0;;      3000;      3187;      3162;
        13;     650,0;;      3000;      3230;      3774;
        14;     700,0;;      3000;      3110;      4096;
        15;     750,0;;      3000;      3152;      3317;
        16;     800,0;;      3000;      3045;      4268;
        17;     850,0;;      3000;      3026;      3918;
        18;     900,0;;      3000;      3021;      4067;
        19;     950,0;;      3000;      2975;      4351;
        20;    1000,0;;      3000;      3016;      3905;
        21;    1050,0;;      3000;      3007;      4101;
        22;    1100,0;;      3000;      3008;      4011;
        23;    1150,0;;      3000;      3001;      4088;
        24;    1200,0;;      3000;      2992;      4154;
        25;    1250,0;;      3000;      2992;      4159;
        26;    1300,0;;      3000;      3003;      4019;
        27;    1350,0;;      3000;      3008;      4030;
        28;    1400,0;;      3000;      3015;      3921;
        29;    1450,0;;      3000;      3006;      4034;
        30;    1500,0;;      3000;      3013;      3869;
        31;    1550,0;;      3000;      3026;      3763;
        32;    1600,0;;      3000;      3028;      3700;
        33;    1650,0;;      3000;      3037;      3536;
        34;    1700,0;;      3000;      3023;      3635;
        35;    1750,0;;      3000;      3006;      3712;
        36;    1800,0;;         0;      1910;     -2458;
        37;    1850,0;;         0;       386;      2198;
        38;    1900,0;;         0;       -21;      2869;
        39;    1950,0;;         0;        -2;      2364;
        40;    2000,0;;         0;       -10;      2504;
        41;    2050,0;;         0;        -2;      2397;
        42;    2100,0;;         0;         0;      2397;
        43;    2150,0;;         0;         0;      2397;
        44;    2200,0;;         0;         0;      2397;
        45;    2250,0;;         0;         0;      2397;
        46;    2300,0;;         0;         0;      2397;
        47;    2350,0;;         0;         0;      2397;
        48;    2400,0;;         0;         0;      2397;
        49;    2450,0;;         0;         0;      2397;
        50;    2500,0;;         0;         0;      2396;
        51;    2550,0;;         0;         0;      2397;
        52;    2600,0;;         0;         0;      2397;
        53;    2650,0;;         0;         0;      2397;
        54;    2700,0;;         0;         0;      2397;
        55;    2750,0;;         0;         0;      2397;
        56;    2800,0;;         0;         0;      2397;
        57;    2850,0;;         0;         0;      2397;
        58;    2900,0;;         0;         0;      2397;
        59;    2950,0;;         0;         0;      2397;
        60;    3000,0;;         0;         0;      2397;
        61;    3050,0;;         0;         0;      2397;
        62;    3100,0;;         0;         0;      2397;
        63;    3150,0;;         0;         0;      2397;
        64;    3200,0;;         0;         0;      2397;
        65;    3250,0;;         0;         0;      2397;
        66;    3300,0;;         0;         0;      2397;
        67;    3350,0;;         0;         0;      2397;
        68;    3400,0;;         0;         0;      2397;
        69;    3450,0;;         0;         0;      2397;
        70;    3500,0;;         0;         0;      2397;
        71;    3550,0;;         0;         0;      2397;
        72;    3600,0;;         0;         0;      2397;
        73;    3650,0;;         0;         0;      2397;
        74;    3700,0;;         0;         0;      2397;
        75;    3750,0;;         0;         0;      2397;
        76;    3800,0;;         0;         0;      2397;
        77;    3850,0;;         0;         0;      2397;
        78;    3900,0;;         0;         0;      2397;
        79;    3950,0;;         0;         0;      2397;
        80;    4000,0;;         0;         0;      2397;
        81;    4050,0;;         0;         0;      2397;
        82;    4100,0;;         0;         0;      2397;
        83;    4150,0;;         0;         0;      2397;
        84;    4200,0;;         0;         0;      2397;
        85;    4250,0;;         0;         0;      2397;
        86;    4300,0;;         0;         0;      2397;
        87;    4350,0;;         0;         0;      2397;
        88;    4400,0;;         0;         0;      2397;
        89;    4450,0;;         0;         0;      2397;
        90;    4500,0;;         0;         0;      2397;
        91;    4550,0;;         0;         0;      2397;
        92;    4600,0;;         0;         0;      2397;
        93;    4650,0;;         0;         0;      2397;
        94;    4700,0;;         0;         0;      2397;
        95;    4750,0;;         0;         0;      2397;
        96;    4800,0;;         0;         0;      2397;
        97;    4850,0;;         0;         0;      2397;
        98;    4900,0;;         0;         0;      2397;
        99;    4950,0;;         0;         0;      2397;
       100;    5000,0;;         0;         0;      2397;
       101;    5050,0;;         0;         0;      2397;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3000;90;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

